,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
2326,37,1383,470.0,1185,451,2.5,1,207100
2327,23,1336,396.0,1255,359,2.5388,1,205000
2328,13,3487,1131.0,3749,1072,2.1602,1,221900
2329,22,2340,773.0,2226,754,2.5417,1,217500
2330,45,1971,439.0,1245,430,4.0272,1,260500
2331,36,2946,1025.0,2542,912,2.2244,1,255900
2332,27,7714,1132.0,3199,1100,7.1262,1,446200
2333,31,3190,489.0,1362,480,6.981,1,402900
2334,36,3120,620.0,1441,612,3.9041,1,320400
2335,14,3615,913.0,1924,852,3.5083,1,280900
2336,27,4713,1169.0,2372,1077,3.7015,1,287900
2337,36,2110,346.0,984,342,6.9909,1,345300
2338,43,2322,418.0,1106,433,4.3631,1,284600
2339,41,2860,682.0,1516,621,3.0431,1,262900
2340,41,1524,393.0,1176,375,2.875,1,192400
2341,14,1878,614.0,1874,559,2.5267,1,231800
2342,29,2209,444.0,952,403,4.375,1,341200
2343,13,3801,1116.0,1986,1078,2.0875,1,222700
2344,39,1995,564.0,1202,544,3.5875,1,250000
2345,47,2589,465.0,1284,485,5.1008,1,247100
2346,48,2584,483.0,1118,459,4.2396,1,245100
2347,46,2115,463.0,1133,439,3.7344,1,222000
2348,45,2570,517.0,1256,510,4.6898,1,226000
2349,49,1969,377.0,977,367,3.8462,1,231300
2350,48,2122,385.0,926,362,5.6975,1,231400
2351,45,3046,633.0,1448,599,3.24,1,226900
2352,46,2711,491.0,1277,490,4.282,1,224700
2353,44,2572,613.0,1280,570,3.5583,1,232000
2354,45,3566,701.0,1601,653,3.8668,1,232000
2355,49,3033,580.0,1284,561,4.1161,1,232500
2356,42,2267,478.0,1083,458,3.2015,1,250000
2357,37,2381,575.0,1235,499,3.7941,1,247800
2358,44,2705,649.0,1676,654,3.4286,1,247900
2359,40,3068,756.0,1190,695,3.5637,1,497400
2360,45,3448,690.0,1562,643,4.0648,1,258800
2361,38,2347,665.0,1317,547,3.2112,1,349300
2362,46,2345,453.0,1031,427,4.3173,1,278300
2363,16,1353,398.0,1211,357,3.1551,1,205000
2364,24,2910,917.0,2522,873,2.4074,1,219400
2365,33,2443,498.0,1601,484,4.0223,1,146000
2366,37,1394,313.0,1111,327,3.6023,1,161800
2367,39,1769,410.0,1499,390,3.1212,1,153500
2368,34,1489,326.0,1389,313,3.4821,1,160300
2369,35,2606,447.0,1555,404,4.6864,1,193800
2370,38,1704,347.0,1384,374,2.865,1,155500
2371,38,1237,298.0,1073,293,3.6726,1,154600
2372,32,1260,382.0,1434,342,2.0286,1,122900
2373,30,1632,401.0,1357,401,3.1588,1,160100
2374,38,1156,305.0,1359,289,2.5147,1,137100
2375,36,2602,638.0,2780,620,2.7155,1,149800
2376,18,7798,1161.0,3710,1227,5.8819,2,260500
2377,14,7876,1253.0,3699,1162,5.5423,2,248700
2378,25,5039,821.0,2654,802,4.7969,2,211700
2379,17,5153,1164.0,2949,1083,3.5603,2,174600
2380,13,2996,495.0,1187,464,6.2456,2,161700
2381,16,2426,426.0,1319,446,4.8125,2,224500
2382,18,3814,721.0,1881,692,4.4722,2,215600
2383,26,8254,1153.0,3460,1131,6.5253,2,349900
2384,20,2421,306.0,1023,298,8.0683,2,451500
2385,27,3770,573.0,1606,562,6.1321,2,309700
2386,26,3773,694.0,2103,688,4.6937,2,198000
2387,24,5745,735.0,2061,679,8.2827,2,451400
2388,21,2056,461.0,1332,429,3.3942,2,212800
2389,29,2240,457.0,1187,407,3.8365,1,184200
2390,35,2259,505.0,1561,509,3.3043,1,155500
2391,42,2225,485.0,1544,464,2.2442,2,166700
2392,15,4644,967.0,2855,867,3.3654,1,222100
2393,23,2308,322.0,1001,317,7.5112,2,355500
2394,32,1764,365.0,924,329,3.875,2,186700
2395,33,3713,718.0,2106,720,4.0023,1,185500
2396,35,2899,429.0,1251,429,6.1049,2,297200
2397,33,2344,363.0,1098,359,6.2089,2,283400
2398,37,2655,415.0,1056,401,5.4224,2,269500
2399,36,3097,667.0,1484,634,3.1905,2,235300
2400,30,2495,586.0,1139,559,2.9375,2,209200
2401,31,1959,318.0,1021,303,4.3145,2,233000
2402,30,4367,1033.0,2524,954,3.0448,2,192100
2403,33,2383,428.0,1269,421,4.636,2,245500
2404,32,1741,373.0,872,333,3.4219,1,194500
2405,29,1677,413.0,873,400,3.12,1,194300
2406,26,3118,528.0,1546,545,5.27,2,209400
2407,25,3465,566.0,1722,536,4.8304,2,228900
2408,29,2671,437.0,1484,445,4.9844,2,203000
2409,17,3499,621.0,1911,621,4.8894,2,191700
2410,34,2026,345.0,1142,332,4.392,2,187600
2411,23,7063,1176.0,3100,1112,4.8229,2,192600
2412,21,3481,808.0,1866,746,3.6201,2,150400
2413,19,1935,399.0,1126,389,3.8929,2,144600
2414,28,4086,871.0,1973,853,2.621,2,202200
2415,32,2643,516.0,1862,478,3.7177,2,177200
2416,26,1664,344.0,1024,339,3.5192,2,190500
2417,15,4260,770.0,2007,695,4.4609,2,230000
2418,22,4935,954.0,2874,938,3.9825,2,180500
2419,50,2388,494.0,1241,459,2.8818,2,167200
2420,28,1998,414.0,1124,389,3.75,2,180900
2421,23,7079,1381.0,3205,1327,3.0735,2,212300
2422,28,3494,566.0,1391,522,5.3637,2,214700
2423,25,5411,998.0,2243,1019,4.3148,2,240700
2424,26,2723,604.0,1847,498,2.6779,2,136000
2425,29,2742,488.0,2477,532,3.5072,2,121900
2426,26,6459,894.0,2487,885,6.2089,2,261800
2427,32,3241,895.0,1592,810,2.4952,2,181800
2428,46,2477,458.0,1034,455,5.5,2,289700
2429,37,3457,537.8705525375618,1344,530,5.8891,2,226000
2430,36,2637,476.0,1385,483,4.1739,2,158700
2431,26,2744,494.0,1411,465,4.2639,2,154200
2432,33,4979,934.0,2575,874,3.7958,2,152500
2433,30,2345,496.0,1897,454,2.4375,2,112100
2434,36,1543,297.0,1355,303,3.5313,2,117800
2435,30,3199,591.0,2192,563,3.4871,2,136400
2436,33,2824,523.0,1797,493,3.6359,2,135100
2437,36,3094,556.0,1672,545,4.2143,2,146900
2438,37,2263,502.0,1677,522,2.9388,2,139200
2439,27,5929,932.0,2817,828,6.0434,2,214800
2440,36,2922,652.0,2392,629,2.8661,2,124000
2441,29,2976,662.0,2452,633,3.0638,2,113600
2442,51,1538,394.0,1173,388,2.3156,2,109800
2443,33,1831,486.0,1625,472,1.9937,2,103600
2444,27,2178,629.0,2379,591,1.9766,2,108000
2445,18,3610,772.0,2899,765,3.9784,2,113500
2446,25,1712,491.0,1807,478,2.2258,2,114800
2447,33,1694,333.0,1689,301,3.7583,2,116300
2448,33,1056,272.0,964,300,2.4464,2,128700
2449,39,2933,590.0,1886,550,3.9224,2,131300
2450,21,4031,923.0,2558,834,3.1641,1,117300
2451,30,1700,504.0,1719,459,2.227,2,91900
2452,36,2910,819.0,3055,782,1.9029,2,98000
2453,35,1293,339.0,1494,312,1.6645,2,93300
2454,35,1613,298.0,911,293,3.4398,2,134300
2455,42,2504,553.0,1550,509,3.0294,2,135700
2456,48,2438,599.0,1508,548,2.8983,2,129200
2457,34,2742,491.0,1761,496,3.2481,2,128800
2458,33,4100,740.0,2580,730,3.7321,2,134200
2459,28,5173,1069.0,3502,954,3.8438,2,130800
2460,34,4038,725.0,2716,759,4.1339,2,135000
2461,32,2209,654.0,1718,569,1.9643,2,113200
2462,33,1921,489.0,1430,467,2.3406,2,122600
2463,28,2758,771.0,2877,694,2.0734,2,113300
2464,30,1185,317.0,1466,302,2.625,2,94300
2465,29,2452,700.0,3029,665,2.1354,2,110700
2466,46,1480,358.0,1511,348,1.9718,2,110600
2467,26,3827,814.0,3367,810,3.15,2,129700
2468,42,1967,378.0,1459,348,3.0375,2,118100
2469,33,2318,464.0,1904,451,3.7454,2,116400
2470,27,2215,440.0,1987,449,3.0429,2,129600
2471,27,3623,809.0,3712,754,3.4609,2,123300
2472,22,2948,636.0,2600,602,3.125,2,113600
2473,34,1914,537.8705525375618,1564,328,2.8347,2,115800
2474,36,2242,448.0,2052,447,3.4464,2,113000
2475,26,2712,402.0,1389,377,5.6513,1,227900
2476,25,4240,643.0,1885,637,6.2384,1,247600
2477,23,3351,591.0,1535,522,5.0869,1,230600
2478,26,3638,557.0,1993,593,6.1076,1,221200
2479,19,6300,937.0,3671,943,5.9716,1,262100
2480,16,4632,537.8705525375618,3038,727,5.1762,1,264400
2481,16,3552,575.0,2120,573,6.4333,1,271500
2482,24,3128,497.0,1406,472,7.5286,1,462700
2483,31,2524,349.0,1003,343,7.5196,1,380900
2484,33,4518,716.0,2037,764,5.6015,1,267200
2485,21,4723,882.0,2210,768,3.8167,1,258700
2486,22,5179,944.0,2315,884,4.51,1,189900
2487,29,3855,585.0,2205,609,5.5496,1,218200
2488,16,4556,639.0,2066,651,6.4667,1,263900
2489,26,3408,542.0,1664,543,6.1498,1,239100
2490,25,2208,477.0,1084,424,3.775,1,191700
2491,31,1484,327.0,927,317,3.6484,1,189600
2492,32,3357,621.0,1696,604,4.2685,1,216600
2493,36,1811,320.0,1005,332,5.5629,1,188300
2494,33,3630,800.0,2257,796,3.2469,1,206900
2495,29,3416,790.0,2223,728,3.5109,1,186000
2496,23,2535,490.0,1327,466,3.5977,1,180600
2497,15,6409,1363.0,3359,1267,3.875,1,173300
2498,27,1748,403.0,985,416,3.1133,2,180600
2499,33,2059,361.0,1073,339,4.2454,1,183800
2500,23,4066,819.0,2105,737,4.6556,1,199600
2501,30,3082,602.0,2008,619,4.1411,1,182700
2502,35,1574,276.0,1088,289,4.0938,1,165300
2503,18,2923,670.0,1751,656,3.2383,1,157000
2504,35,1566,321.0,1396,317,4.05,1,141300
2505,27,2434,535.0,1623,498,3.6875,1,140200
2506,25,2559,654.0,1674,623,2.8547,1,155600
2507,36,2029,351.0,1327,364,4.1836,1,164300
2508,34,2159,386.0,1443,385,4.1995,1,147400
2509,25,3076,856.0,2868,752,2.6619,1,117600
2510,32,1640,391.0,1312,358,2.6292,1,136100
2511,37,1801,422.0,1564,425,3.1597,1,133000
2512,33,1788,456.0,1787,361,2.6629,1,124100
2513,33,1555,361.0,1571,386,4.0529,1,138200
2514,34,1540,328.0,1037,317,2.2132,1,138500
2515,42,1762,398.0,1526,365,2.8643,2,132600
2516,41,2673,578.0,2259,592,3.7846,1,145500
2517,33,1391,309.0,1038,298,4.1944,1,149500
2518,32,2552,576.0,2161,548,2.9459,1,144400
2519,20,3158,684.0,2396,713,3.525,1,153000
2520,24,2838,695.0,2151,645,3.2202,1,126200
2521,31,1507,369.0,1548,347,3.4327,2,147200
2522,15,3543,888.0,3131,823,3.0184,2,139400
2523,32,2491,616.0,2660,595,2.564,2,145800
2524,34,1696,456.0,1609,426,2.25,2,138500
2525,35,1681,360.0,1648,373,2.4911,2,145900
2526,30,2227,474.0,1961,481,3.3261,2,164100
2527,32,2910,709.0,2583,670,3.7736,1,158400
2528,20,2063,496.0,1573,468,3.2,1,157100
2529,22,1438,364.0,1325,335,2.7802,1,162500
2530,17,3640,830.0,3537,807,3.4784,2,152200
2531,31,3073,617.0,2640,594,3.5,2,161300
2532,27,3569,761.0,3339,762,4.1304,2,160500
2533,29,1986,448.0,2013,432,3.1034,2,140800
2534,35,4036,904.0,3878,846,3.2957,2,141600
2535,33,1558,316.0,1600,338,2.9712,2,143900
2536,30,2686,613.0,2477,573,3.4427,2,160800
2537,30,2775,657.0,2847,642,3.2266,2,141800
2538,31,2779,639.0,2259,670,3.4032,2,143400
2539,21,2215,484.0,1792,419,2.8375,1,166500
2540,34,2278,476.0,1728,448,3.125,1,154100
2541,18,1179,324.0,1296,331,2.851,1,140600
2542,39,1076,338.0,1242,332,2.2679,1,151800
2543,33,4151,850.0,3563,848,3.1912,1,159900
2544,28,2831,552.0,2330,557,3.9741,1,173100
2545,21,2707,675.0,1742,626,2.1062,1,176700
2546,32,2704,514.0,1669,497,4.4653,1,195400
2547,34,1970,476.0,1269,406,4.064,1,201200
2548,35,2393,417.0,1336,418,4.87,1,187700
2549,37,1987,399.0,1279,378,4.1172,1,176500
2550,34,2192,431.0,1376,428,3.9861,1,163900
2551,35,1891,353.0,1093,382,4.0167,1,165500
2552,35,2108,408.0,1257,414,4.1312,1,185200
2553,36,1788,317.0,1139,320,4.125,1,185800
2554,33,2325,452.0,1170,445,3.6625,1,217100
2555,35,1860,323.0,1011,305,3.5536,1,207000
2556,35,1897,311.0,965,323,5.7039,1,199400
2557,28,3694,722.0,1999,718,3.2813,1,181100
2558,20,4327,1037.0,2296,963,3.0441,1,185400
2559,35,1810,318.0,1164,332,5.0123,1,165700
2560,33,1921,397.0,1492,393,4.375,1,150500
2561,31,3007,653.0,1766,616,3.7083,1,166000
2562,35,2746,478.0,1779,501,4.25,1,166700
2563,35,2994,603.0,1933,561,4.0052,1,160700
2564,27,3341,728.0,1762,679,2.9437,1,180400
2565,35,3185,544.0,1858,564,3.8304,1,175900
2566,34,2048,411.0,1456,416,3.125,1,168600
2567,35,2739,475.0,1481,483,4.5655,1,176600
2568,32,2068,356.0,976,370,5.212,1,201200
2569,37,1813,394.0,1100,375,3.4453,1,176700
2570,39,1726,333.0,892,335,4.3409,1,191800
2571,30,6132,1538.0,3147,1449,2.7763,1,187800
2572,25,2115,489.0,1107,477,3.1949,1,207400
2573,32,2374,450.0,1580,427,3.8837,1,200300
2574,32,5482,1251.0,3426,1117,3.2943,1,204400
2575,25,3652,470.0,1525,484,10.1248,1,428500
2576,23,6689,1124.0,3081,1047,5.9254,1,491200
2577,34,2956,469.0,1488,464,5.3664,1,268300
2578,33,2938,561.0,1519,549,4.5594,1,204200
2579,34,2819,609.0,1718,558,3.5547,1,197600
2580,29,1699,399.0,1052,411,3.2122,1,195500
2581,29,3250,521.0,1382,513,5.112,1,218300
2582,35,3189,537.8705525375618,1727,500,5.0758,1,211100
2583,35,2894,467.0,1420,479,5.184,1,224900
2584,32,3055,623.0,1902,565,4.2926,1,190700
2585,28,3342,688.0,2210,647,3.4596,1,202800
2586,32,3418,662.0,2003,622,4.0333,1,210200
2587,34,1921,422.0,1230,447,3.6648,1,193900
2588,25,1814,404.0,1187,363,3.3523,1,170800
2589,32,2252,415.0,1370,411,4.6312,1,184800
2590,35,2819,529.0,1508,485,4.6118,1,191700
2591,34,2226,381.0,1464,365,4.4102,1,183200
2592,31,2017,462.0,1462,457,2.067,1,167300
2593,34,3580,684.0,2786,636,4.0469,1,166800
2594,31,2516,537.8705525375618,2194,497,3.2413,1,155500
2595,36,2391,407.0,1967,398,4.0274,1,160700
2596,35,2342,426.0,2176,416,3.7454,1,156900
2597,35,1792,317.0,1441,306,3.7917,1,151100
2598,33,2028,422.0,1727,371,2.8438,1,157600
2599,34,2050,495.0,1832,465,2.8333,1,155700
2600,33,1560,315.0,1467,313,4.1429,1,159800
2601,34,2547,537.0,2108,498,3.4722,1,154600
2602,32,1507,295.0,1326,324,4.119,1,163300
2603,28,1686,417.0,1355,388,2.5192,1,157300
2604,35,2093,537.8705525375618,1755,403,3.4115,1,150400
2605,35,1623,331.0,1462,312,3.9803,1,152600
2606,33,1453,326.0,1609,319,3.7578,1,155800
2607,32,1993,388.0,1385,380,3.7258,1,181900
2608,34,1729,324.0,1341,324,3.7708,1,163500
2609,36,1431,354.0,1367,334,3.5592,1,160200
2610,34,1519,304.0,1262,300,3.3409,1,161200
2611,31,2349,539.0,2028,521,3.494,1,154500
2612,33,1493,331.0,1571,354,3.8864,1,158900
2613,27,2610,846.0,2296,750,2.274,1,150800
2614,33,1782,394.0,1517,376,3.3389,1,157900
2615,23,3188,836.0,3883,840,2.1863,1,157600
2616,33,1733,361.0,1757,375,4.2266,1,153800
2617,27,5026,955.0,3899,930,3.871,1,162900
2618,22,1919,411.0,1203,363,4.2578,1,144100
2619,32,1819,375.0,1728,375,3.975,1,162400
2620,35,1469,306.0,1285,308,3.9219,1,159500
2621,35,2160,399.0,1694,403,3.8581,1,163100
2622,30,2246,446.0,1837,431,4.7917,1,164500
2623,36,2241,419.0,1743,448,4.6587,1,161900
2624,21,5459,1086.0,3394,1087,3.6308,1,192100
2625,23,4535,955.0,3881,930,3.6275,1,154100
2626,27,1702,381.0,2091,352,3.7917,1,131100
2627,27,2383,472.0,2079,494,3.9702,1,141400
2628,35,3055,634.0,3738,615,3.375,1,127200
2629,22,3272,618.0,1784,591,4.0324,1,211300
2630,21,2837,515.0,2031,555,4.9271,1,209700
2631,30,4468,959.0,4027,938,3.185,1,168300
2632,27,5640,1001.0,3538,978,5.065,1,215400
2633,25,6909,1154.0,3912,1121,5.257,1,226100
2634,32,2945,651.0,2044,652,3.1979,1,183900
2635,33,3512,632.0,1971,598,4.4653,1,193200
2636,27,2643,418.0,1344,381,5.7057,1,262100
2637,26,2988,397.0,1371,415,6.6988,1,382500
2638,21,5992,986.0,2647,969,5.2405,1,302400
2639,33,3530,700.0,2959,679,3.7459,1,152900
2640,33,2006,381.0,1410,346,3.7083,1,165500
2641,28,1983,375.0,1407,367,3.8319,1,179000
2642,22,5284,982.0,2613,932,4.7332,1,289900
2643,22,3632,538.0,1968,566,6.019,1,324900
2644,26,3343,455.0,1429,457,7.0778,1,334300
2645,27,2275,346.0,1039,333,6.2217,1,333500
2646,18,8399,1144.0,3727,1107,6.9695,1,360400
2647,34,2376,468.0,1858,449,4.1328,1,176300
2648,33,5462,952.0,3527,914,4.4038,1,186700
2649,34,2777,540.0,1954,522,4.5163,1,183800
2650,18,6100,1018.0,3112,982,4.9932,1,284000
2651,15,3978,692.0,2418,665,5.0142,1,269900
2652,25,2799,388.0,1348,389,6.2517,1,311100
2653,23,3335,570.0,1560,555,5.7268,1,300300
2654,23,7353,1255.0,4014,1124,5.4155,1,213200
2655,17,7116,1089.0,3538,1083,6.2654,2,273800
2656,13,3859,710.0,2283,759,4.5594,2,184500
2657,33,1943,440.0,1526,353,3.038,2,137500
2658,27,2221,542.0,1328,523,2.5275,2,151700
2659,33,1994,405.0,993,403,3.766,2,163900
2660,15,3595,964.0,1839,877,2.6014,2,150300
2661,33,1328,348.0,903,329,3.1094,2,136000
2662,24,1596,388.0,1329,352,3.0417,2,148000
2663,33,2038,473.0,1546,469,3.4777,2,144500
2664,37,1447,309.0,1279,290,4.0083,2,142900
2665,29,2110,460.0,1890,448,3.6806,2,130500
2666,35,5005,848.0,2112,813,4.9968,2,295000
2667,38,2981,432.0,1063,437,6.5254,2,365000
2668,40,3838,696.0,1851,674,4.2407,2,262000
2669,48,3436,673.0,1540,648,4.275,2,256800
2670,44,2419,437.0,1045,432,3.875,2,280800
2671,44,2267,426.0,980,372,3.6,2,307400
2672,38,2726,398.0,1059,380,7.2419,2,410400
2673,45,2535,455.0,1036,437,5.0482,2,388900
2674,37,3134,532.0,1220,508,5.2865,2,455400
2675,36,3908,732.0,1688,725,4.5625,2,376800
2676,41,3320,713.0,1236,659,3.5694,2,278600
2677,34,2297,419.0,909,412,4.8214,2,362500
2678,35,3585,671.0,1401,623,4.125,2,330000
2679,40,4307,918.0,1769,845,3.6341,2,391500
2680,42,2461,379.0,1179,360,7.0315,2,437300
2681,22,3359,643.0,1227,588,4.645,2,276200
2682,23,3264,729.0,1475,668,3.735,2,218300
2683,32,3308,718.0,1803,667,3.9464,2,273600
2684,31,4353,1117.0,2338,1037,3.0727,2,242600
2685,33,2874,458.0,1239,431,5.2329,2,430900
2686,34,1966,319.0,980,297,7.7307,2,429000
2687,33,2352,373.0,995,359,4.9583,2,445700
2688,37,2250,360.0,989,329,6.1536,2,366000
2689,35,2454,458.0,1110,435,3.8029,2,414800
2690,34,2837,460.0,1344,458,6.5722,2,437400
2691,20,3350,831.0,1816,744,2.8352,2,161700
2692,23,3425,754.0,2202,729,3.52,2,187300
2693,44,2492,611.0,1951,596,3.1304,2,185600
2694,43,2583,633.0,1544,617,2.5417,2,178300
2695,32,6597,1579.0,3689,1459,3.2377,2,184100
2696,27,6341,1289.0,2899,1192,3.6336,2,235200
2697,30,2346,537.8705525375618,1988,474,2.5625,2,153000
2698,24,2584,520.0,1869,503,3.2841,2,167000
2699,31,1298,431.0,1131,425,1.0548,2,178100
2700,37,1568,371.0,1618,350,2.9605,2,129400
2701,37,1527,331.0,1504,324,3.2857,2,130100
2702,37,1340,325.0,928,333,3.9219,2,175000
2703,38,3374,671.0,1906,640,4.0729,2,212300
2704,32,1937,332.0,922,340,3.94,2,278400
2705,43,1858,345.0,1054,329,3.5625,2,211600
2706,36,1928,361.0,1008,368,4.733,2,233700
2707,38,2301,416.0,1079,398,4.4236,2,233600
2708,30,2773,634.0,1376,540,2.7857,2,201700
2709,31,2647,539.0,1473,520,3.94,2,223900
2710,32,2668,609.0,1512,541,2.9422,2,233100
2711,38,2076,361.0,988,332,5.9175,2,416900
2712,42,3677,627.0,1779,622,5.1509,2,426500
2713,39,2485,382.0,1072,342,6.0878,2,430200
2714,39,2522,380.0,1113,357,5.2249,2,445200
2715,20,5218,959.0,2302,850,3.55,2,476700
2716,25,3891,848.0,1848,759,3.6639,2,248100
2717,34,2941,558.0,1660,576,4.5667,2,271500
2718,35,2053,369.0,1044,375,4.1875,2,275400
2719,36,2178,485.0,914,412,2.7656,2,239500
2720,39,2603,547.0,1196,487,3.0854,2,248700
2721,39,2302,412.0,1590,406,4.8017,2,273800
2722,36,1606,318.0,889,294,4.7931,2,272600
2723,38,3229,636.0,1599,609,3.8646,1,257100
2724,38,2438,442.0,1308,461,3.6995,1,260100
2725,38,2317,451.0,1155,426,4.1488,2,235300
2726,34,2597,461.0,1542,470,4.6211,2,248900
2727,30,2143,427.0,1107,416,4.2321,2,252200
2728,42,2065,404.0,1313,402,4.0179,2,274300
2729,38,2036,388.0,1096,371,4.0625,1,262500
2730,38,1960,330.0,874,308,4.8594,1,265900
2731,40,1975,389.0,1116,378,4.2898,1,251600
2732,40,1745,370.0,1293,357,2.5474,1,198100
2733,33,2557,578.0,1715,530,2.9196,1,208800
2734,34,1823,457.0,1485,401,3.7222,1,207200
2735,32,3214,718.0,2316,751,3.7066,1,206800
2736,34,2001,388.0,1461,397,3.8304,2,183000
2737,32,1747,399.0,1199,402,3.4286,2,191800
2738,29,2741,667.0,2449,677,3.6944,2,175200
2739,24,2080,514.0,1976,478,2.6917,2,170000
2740,29,1219,338.0,1152,323,2.8029,2,180900
2741,32,1780,484.0,1732,454,2.4464,2,169600
2742,34,2249,460.0,1544,441,3.4005,2,176300
2743,29,3402,747.0,2331,690,3.6094,2,179200
2744,27,2424,542.0,1713,557,3.8085,2,181400
2745,35,2120,412.0,1375,405,3.4609,2,166300
2746,29,2003,401.0,1520,364,3.994,2,195300
2747,30,2281,522.0,1969,500,3.6531,2,166300
2748,28,2769,631.0,2452,581,2.6071,2,175900
2749,35,1852,358.0,1414,347,4.275,2,173600
2750,32,1613,361.0,1283,404,3.1944,2,181700
2751,23,1627,318.0,1279,289,4.6467,2,185100
2752,31,2402,632.0,2830,603,2.3333,2,164200
2753,42,1597,373.0,1311,352,2.9688,2,162800
2754,30,1572,427.0,1857,428,2.4914,1,159200
2755,42,1988,402.0,1239,402,3.2569,1,201500
2756,38,2462,553.0,1843,538,3.2312,1,211900
2757,19,1554,393.0,1427,370,3.125,1,207100
2758,30,2308,674.0,3034,691,2.3929,1,184400
2759,36,1018,305.0,1307,292,2.1453,1,162100
2760,39,1382,315.0,1090,308,3.8125,1,174000
2761,39,2451,649.0,2536,648,2.3098,1,173100
2762,21,3245,959.0,3528,887,2.3236,2,156300
2763,31,1513,389.0,1396,364,2.4706,1,170600
2764,24,2343,834.0,3537,824,2.1094,1,135200
2765,27,2510,783.0,3481,726,2.4875,1,157800
2766,30,2019,551.0,2481,484,3.1875,1,154200
2767,32,2286,654.0,2991,655,2.1781,1,174500
2768,25,1022,291.0,1570,297,3.023,1,142000
2769,28,2127,625.0,3160,620,2.5763,1,173900
2770,28,1778,605.0,2184,574,1.9189,1,165900
2771,32,4089,975.0,3775,955,3.29,1,205500
2772,34,2873,718.0,2758,699,2.5985,1,168600
2773,28,1516,363.0,1011,344,2.6288,1,160300
2774,24,2469,731.0,3818,712,2.5445,1,151400
2775,35,1734,363.0,1527,344,3.0,1,160600
2776,32,1619,323.0,1492,342,3.5,1,165100
2777,26,2929,970.0,3792,817,2.2577,1,173800
2778,34,1610,513.0,2050,508,2.5562,1,156300
2779,36,1359,317.0,1557,370,2.7955,1,157500
2780,36,1345,331.0,1511,309,3.5129,1,142300
2781,31,1135,355.0,1717,368,2.1602,1,161700
2782,33,2464,627.0,2932,568,3.0625,1,165800
2783,34,4062,597.0,1525,566,7.8588,2,454800
2784,36,2415,394.0,1215,413,5.5418,2,326100
2785,35,2142,373.0,986,374,5.7051,2,326000
2786,39,2321,336.0,880,339,7.7108,2,450000
2787,36,4915,725.0,1897,700,6.827,2,359400
2788,46,2676,427.0,1022,395,6.4288,2,295500
2789,48,2539,425.0,930,364,4.7269,2,303900
2790,43,1621,365.0,1015,329,2.92,2,242200
2791,45,3595,619.0,1686,607,4.73,2,201000
2792,39,2569,426.0,1282,432,5.0953,2,207400
2793,37,1997,361.0,1037,363,3.7932,2,210300
2794,34,2765,515.0,1422,438,5.4727,2,238900
2795,48,1854,360.0,1126,382,3.2216,1,161600
2796,40,1840,358.0,1218,347,4.25,1,177900
2797,43,1810,343.0,988,307,3.8203,1,176000
2798,46,2230,488.0,1985,456,2.2328,1,142100
2799,46,2553,558.0,1740,492,2.0278,1,127500
2800,44,1870,389.0,1345,391,1.8932,1,136100
2801,42,1521,320.0,1118,311,3.3125,1,154900
2802,42,2076,462.0,1641,436,2.2326,1,149200
2803,44,2195,449.0,1377,417,3.5887,1,153500
2804,45,1790,316.0,1035,312,4.0985,1,173100
2805,42,2203,412.0,1012,377,4.0714,2,234000
2806,47,3457,622.0,1700,579,3.5164,1,226500
2807,38,1750,411.0,1398,409,2.3967,1,163100
2808,47,2168,352.0,902,361,5.894,2,300900
2809,44,2357,342.0,891,337,6.3467,2,352700
2810,50,3374,598.0,1484,569,4.99,2,261600
2811,46,2837,592.0,1453,549,3.1115,2,234600
2812,47,2344,513.0,1537,481,3.4777,2,230600
2813,37,2705,676.0,1551,608,2.2692,2,225000
2814,42,2757,713.0,2112,653,2.7148,1,166800
2815,50,1493,326.0,1000,323,3.3068,1,154400
2816,45,2612,664.0,3117,584,2.3029,1,148800
2817,18,1711,383.0,1474,415,1.2891,1,181300
2818,38,2471,529.0,1661,441,2.2765,1,146600
2819,39,2776,840.0,2546,773,2.575,1,153500
2820,34,2384,604.0,2073,540,2.3062,1,158000
2821,30,2598,757.0,2869,769,2.1377,1,142300
2822,20,2410,632.0,2135,578,1.6887,1,148600
2823,49,1962,435.0,1329,457,3.2898,1,200000
2824,36,2973,807.0,2846,784,2.6217,1,156300
2825,36,2162,658.0,1337,590,2.2095,1,176700
2826,17,1896,674.0,971,652,0.8438,1,175000
2827,38,1843,565.0,1449,524,2.2174,1,215400
2828,30,1762,416.0,940,398,2.8631,1,188600
2829,33,2682,716.0,2050,692,2.4817,1,169500
2830,18,1665,477.0,1095,390,2.6038,1,155600
2831,22,1671,480.0,1005,443,3.0119,1,171400
2832,36,2875,552.0,1131,458,4.3083,2,269300
2833,44,2795,496.0,1235,469,4.2386,2,283700
2834,44,4505,894.0,2296,899,3.4811,2,300500
2835,40,1950,509.0,1038,438,2.6172,1,196100
2836,26,2193,558.0,1186,559,3.6474,1,184100
2837,35,1760,447.0,984,384,3.4167,1,198200
2838,46,2863,513.0,1412,498,5.3272,2,330200
2839,42,3490,665.0,1713,620,4.5461,2,242400
2840,45,2199,358.0,942,353,5.0393,2,321100
2841,35,2459,438.0,970,437,4.2143,2,369400
2842,42,3200,685.0,1668,628,3.375,2,260400
2843,45,2923,604.0,1903,560,3.1729,2,218700
